"median","date_column"
387155,"2021-04-07"
362594,"2021-04-08"
392248,"2021-04-12"
380344,"2021-04-14"
404716,"2021-04-15"
420042,"2021-04-16"
422372,"2021-04-19"
423724,"2021-04-20"
403852,"2021-04-21"
398576,"2021-04-22"
394254,"2021-04-23"
400591,"2021-04-26"
403290,"2021-04-27"
396557,"2021-04-28"
420439,"2021-04-29"
417227,"2021-04-30"
936463,"2021-05-02"
392241,"2021-05-03"
410337,"2021-05-04"
426548,"2021-05-05"
399620,"2021-05-06"
856783,"2021-05-07"
1117167,"2021-05-08"
1164557,"2021-05-09"
391059,"2021-05-10"
732142,"2021-05-11"
402059,"2021-05-12"
406054,"2021-05-13"
617373,"2021-05-14"
387155,"2021-04-07"
362594,"2021-04-08"
392248,"2021-04-12"
380344,"2021-04-14"
427006,"2021-04-15"
462152,"2021-04-16"
463120,"2021-04-19"
474662,"2021-04-20"
429526,"2021-04-21"
438412,"2021-04-22"
428798,"2021-04-23"
410014,"2021-04-26"
463823,"2021-04-27"
564441,"2021-04-28"
602254,"2021-04-29"
573317,"2021-04-30"
936463,"2021-05-02"
535737,"2021-05-03"
508878,"2021-05-04"
602194,"2021-05-05"
509038,"2021-05-06"
751950,"2021-05-07"
1117167,"2021-05-08"
1164557,"2021-05-09"
526787,"2021-05-10"
669884,"2021-05-11"
550257,"2021-05-12"
568474,"2021-05-13"
758086,"2021-05-14"
387155,"2021-04-07"
362594,"2021-04-08"
392248,"2021-04-12"
383396,"2021-04-14"
637054,"2021-04-15"
823271,"2021-04-16"
780105,"2021-04-19"
760815,"2021-04-20"
664930,"2021-04-21"
677186,"2021-04-22"
684568,"2021-04-23"
681146,"2021-04-26"
670169,"2021-04-27"
1160087,"2021-04-28"
1155263,"2021-04-29"
1202129,"2021-04-30"
997274,"2021-05-02"
1181659,"2021-05-03"
1293106,"2021-05-04"
1283458,"2021-05-05"
1117908,"2021-05-06"
1148080,"2021-05-07"
1117167,"2021-05-08"
1164557,"2021-05-09"
860527,"2021-05-10"
882950,"2021-05-11"
1174198,"2021-05-12"
1152276,"2021-05-13"
1151747,"2021-05-14"
387155,"2021-04-07"
362594,"2021-04-08"
392248,"2021-04-12"
377292,"2021-04-14"
361808,"2021-04-15"
396065,"2021-04-16"
375625,"2021-04-19"
